,Name,Time,LTQ,callSP,putSP
0,BPCL,2021-10-27 01:57:10.490461,1800,,437.0
1,GAIL,2021-10-27 01:57:21.630180,6100,152.5,167.5
2,GUJGASLTD,2021-10-27 01:57:28.642504,1250,195.0,470.0
3,IGL,2021-10-27 01:57:39.602313,1375,195.0,470.0
4,MGL,2021-10-27 01:57:52.717539,600,1000.0,1120.0
5,NTPC,2021-10-27 01:57:59.715319,5700,145.0,143.0
6,ONGC,2021-10-27 01:58:09.178506,7700,162.5,167.5
7,PETRONET,2021-10-27 01:58:16.423481,3000,230.0,167.5
8,RELIANCE,2021-10-27 01:58:28.618471,250,2660.0,2820.0
9,TATAPOWER,2021-10-27 01:58:38.285532,6750,225.0,167.5
10,TORNTPOWER,2021-10-27 01:58:48.114393,1500,530.0,470.0
